Date,Device,Source,Category,Impressions,Clicks,Conversions,Revenue,Cost,,,,,,
1/22/20,Tablet,PPC,Health,1688,38,0,10,5,,,,,,
1/23/20,Desktop,PPC,Health,9766,214,5,45,45,,,,,,
1/23/20,Mobile,PPC,Health,14405,413,9,92,71,,,,,,
1/23/20,Tablet,PPC,Health,1727,39,0,2,6,,,,,,
1/24/20,Desktop,PPC,Health,7616,168,4,40,36,,,,,,
1/24/20,Mobile,PPC,Health,12998,385,9,79,64,,,,,,
1/24/20,Tablet,PPC,Health,1625,40,1,7,6,,,,,,
1/25/20,Desktop,PPC,Health,5454,134,4,48,29,,,,,,
1/25/20,Mobile,PPC,Health,12578,389,10,85,64,,,,,,
1/25/20,Tablet,PPC,Health,1490,34,1,14,5,,,,,,
1/26/20,Desktop,PPC,Health,5088,129,4,40,27,,,,,,
1/26/20,Mobile,PPC,Health,10579,341,8,76,54,,,,,,
1/26/20,Tablet,PPC,Health,1253,31,1,11,4,,,,,,
1/27/20,Desktop,PPC,Health,8671,185,5,49,39,,,,,,
1/27/20,Mobile,PPC,Health,13810,411,9,82,70,,,,,,
1/27/20,Tablet,PPC,Health,1609,36,1,13,5,,,,,,
1/28/20,Desktop,PPC,Health,9078,188,5,56,40,,,,,,
1/28/20,Mobile,PPC,Health,15451,429,8,85,73,,,,,,
1/28/20,Tablet,PPC,Health,1654,37,0,9,5,,,,,,
1/29/20,Desktop,PPC,Health,9052,192,5,64,41,,,,,,
1/29/20,Mobile,PPC,Health,14819,413,10,92,71,,,,,,
1/29/20,Tablet,PPC,Health,1689,37,1,6,5,,,,,,
1/30/20,Desktop,PPC,Health,10442,170,5,68,36,,,,,,
1/30/20,Mobile,PPC,Health,13243,354,9,85,56,,,,,,
1/30/20,Tablet,PPC,Health,1564,35,0,4,5,,,,,,
1/31/20,Desktop,PPC,Health,11592,160,5,55,34,,,,,,
1/31/20,Mobile,PPC,Health,11823,346,7,71,56,,,,,,
1/31/20,Tablet,PPC,Health,1505,33,0,6,4,,,,,,
2/1/20,Desktop,PPC,Health,8170,147,4,35,31,,,,,,
2/1/20,Mobile,PPC,Health,12210,364,8,89,60,,,,,,
2/1/20,Tablet,PPC,Health,1544,36,1,12,5,,,,,,
2/2/20,Desktop,PPC,Health,9667,145,4,46,31,,,,,,
2/2/20,Mobile,PPC,Health,12054,366,7,59,57,,,,,,
2/2/20,Tablet,PPC,Health,1565,36,0,9,5,,,,,,
2/3/20,Desktop,PPC,Health,14564,219,6,54,52,,,,,,
2/3/20,Mobile,PPC,Health,15143,435,9,88,80,,,,,,
2/3/20,Tablet,PPC,Health,1977,44,0,3,7,,,,,,
2/4/20,Desktop,PPC,Health,13113,209,6,56,53,,,,,,
2/4/20,Mobile,PPC,Health,14456,403,9,77,73,,,,,,
2/4/20,Tablet,PPC,Health,1834,40,0,6,6,,,,,,
2/5/20,Desktop,PPC,Health,11061,183,4,57,46,,,,,,
2/5/20,Mobile,PPC,Health,13365,385,8,82,65,,,,,,
2/5/20,Tablet,PPC,Health,1685,38,0,2,5,,,,,,
2/6/20,Desktop,PPC,Health,11128,173,5,42,44,,,,,,
2/6/20,Mobile,PPC,Health,11969,350,7,71,59,,,,,,
2/6/20,Tablet,PPC,Health,1587,33,1,11,5,,,,,,
2/7/20,Desktop,PPC,Health,10988,150,5,62,36,,,,,,
2/7/20,Mobile,PPC,Health,10805,319,7,66,51,,,,,,
2/7/20,Tablet,PPC,Health,1524,32,0,3,4,,,,,,
2/8/20,Desktop,PPC,Health,9440,137,4,52,32,,,,,,
2/8/20,Mobile,PPC,Health,12264,358,8,91,58,,,,,,
2/8/20,Tablet,PPC,Health,1666,37,1,9,5,,,,,,
2/9/20,Desktop,PPC,Health,10378,147,4,40,34,,,,,,
2/9/20,Mobile,PPC,Health,12064,353,9,99,55,,,,,,
2/9/20,Tablet,PPC,Health,1649,36,0,8,5,,,,,,
2/10/20,Desktop,PPC,Health,10180,186,5,53,41,,,,,,
2/10/20,Mobile,PPC,Health,14148,389,8,78,62,,,,,,
2/10/20,Tablet,PPC,Health,1826,40,1,10,6,,,,,,
2/11/20,Desktop,PPC,Health,8035,162,5,49,39,,,,,,
2/11/20,Mobile,PPC,Health,12548,353,8,80,58,,,,,,
2/11/20,Tablet,PPC,Health,1512,33,0,9,5,,,,,,
2/12/20,Desktop,PPC,Health,7209,148,5,52,36,,,,,,
2/12/20,Mobile,PPC,Health,11293,325,9,79,52,,,,,,
2/12/20,Tablet,PPC,Health,1382,32,0,7,5,,,,,,
2/13/20,Desktop,PPC,Health,6954,136,5,37,32,,,,,,
2/13/20,Mobile,PPC,Health,10914,322,7,65,53,,,,,,
2/13/20,Tablet,PPC,Health,1458,30,0,6,4,,,,,,
2/14/20,Desktop,PPC,Health,5524,112,3,23,26,,,,,,
2/14/20,Mobile,PPC,Health,9233,262,7,61,41,,,,,,
2/14/20,Tablet,PPC,Health,1087,23,0,3,3,,,,,,
2/15/20,Desktop,PPC,Health,5226,121,5,59,27,,,,,,
2/15/20,Mobile,PPC,Health,11262,346,8,78,55,,,,,,
2/15/20,Tablet,PPC,Health,1360,29,0,10,4,,,,,,
2/16/20,Desktop,PPC,Health,5992,122,4,54,27,,,,,,
2/16/20,Mobile,PPC,Health,12450,364,7,79,55,,,,,,
2/16/20,Tablet,PPC,Health,1443,33,0,3,4,,,,,,
2/17/20,Desktop,PPC,Health,8691,176,4,60,41,,,,,,
2/17/20,Mobile,PPC,Health,14616,430,9,89,72,,,,,,
2/17/20,Tablet,PPC,Health,1645,36,1,7,5,,,,,,
2/18/20,Desktop,PPC,Health,7628,156,5,54,39,,,,,,
2/18/20,Mobile,PPC,Health,11105,359,7,60,59,,,,,,
2/18/20,Tablet,PPC,Health,1229,28,0,5,4,,,,,,
2/19/20,Desktop,PPC,Health,6131,136,5,42,35,,,,,,
2/19/20,Mobile,PPC,Health,9578,308,7,45,47,,,,,,
2/19/20,Tablet,PPC,Health,1127,26,1,11,4,,,,,,
2/20/20,Desktop,PPC,Health,5951,127,4,41,31,,,,,,
2/20/20,Mobile,PPC,Health,9249,267,7,66,40,,,,,,
2/20/20,Tablet,PPC,Health,1159,26,1,8,3,,,,,,
2/21/20,Desktop,PPC,Health,5664,119,4,45,29,,,,,,
2/21/20,Mobile,PPC,Health,9036,283,7,69,44,,,,,,
2/21/20,Tablet,PPC,Health,1178,28,0,8,4,,,,,,
2/22/20,Desktop,PPC,Health,4774,116,4,44,27,,,,,,
2/22/20,Mobile,PPC,Health,10183,314,8,73,48,,,,,,
2/22/20,Tablet,PPC,Health,1385,31,0,10,4,,,,,,
2/23/20,Desktop,PPC,Health,4765,108,3,35,25,,,,,,
2/23/20,Mobile,PPC,Health,9793,320,8,73,47,,,,,,
2/23/20,Tablet,PPC,Health,1210,29,0,5,4,,,,,,
2/24/20,Desktop,PPC,Health,7681,165,6,57,40,,,,,,
2/24/20,Mobile,PPC,Health,12151,382,10,93,63,,,,,,
2/24/20,Tablet,PPC,Health,1505,33,1,8,5,,,,,,
2/25/20,Desktop,PPC,Health,6495,138,5,55,35,,,,,,
2/25/20,Mobile,PPC,Health,9942,317,7,64,53,,,,,,
2/25/20,Tablet,PPC,Health,1214,28,1,6,4,,,,,,
2/26/20,Desktop,PPC,Health,6377,134,4,36,33,,,,,,
2/26/20,Mobile,PPC,Health,9665,311,7,62,49,,,,,,
2/26/20,Tablet,PPC,Health,1235,27,0,5,4,,,,,,
2/27/20,Desktop,PPC,Health,6404,134,5,46,33,,,,,,
2/27/20,Mobile,PPC,Health,9200,294,7,60,49,,,,,,
2/27/20,Tablet,PPC,Health,1185,26,0,2,3,,,,,,
2/28/20,Desktop,PPC,Health,5494,121,4,30,27,,,,,,
2/28/20,Mobile,PPC,Health,8879,273,7,52,42,,,,,,
2/28/20,Tablet,PPC,Health,1120,24,0,4,3,,,,,,
2/29/20,Desktop,PPC,Health,4497,105,3,43,24,,,,,,
2/29/20,Mobile,PPC,Health,9169,282,7,76,43,,,,,,
2/29/20,Tablet,PPC,Health,1136,27,0,4,3,,,,,,
3/1/20,Desktop,PPC,Health,5568,122,4,38,29,,,,,,
3/1/20,Mobile,PPC,Health,10715,318,8,52,49,,,,,,
3/1/20,Tablet,PPC,Health,1304,30,0,8,4,,,,,,
3/2/20,Desktop,PPC,Health,7277,152,5,51,37,,,,,,
3/2/20,Mobile,PPC,Health,12269,355,8,64,60,,,,,,
3/2/20,Tablet,PPC,Health,1380,31,0,4,4,,,,,,
3/3/20,Desktop,PPC,Health,6635,145,5,44,38,,,,,,
3/3/20,Mobile,PPC,Health,11528,355,8,71,62,,,,,,
3/3/20,Tablet,PPC,Health,1281,28,0,1,4,,,,,,
3/4/20,Desktop,PPC,Health,5515,128,5,58,34,,,,,,
3/4/20,Mobile,PPC,Health,9709,305,7,63,51,,,,,,
3/4/20,Tablet,PPC,Health,1173,27,0,6,4,,,,,,
3/5/20,Desktop,PPC,Health,11382,133,6,51,35,,,,,,
3/5/20,Mobile,PPC,Health,8958,276,7,55,45,,,,,,
3/5/20,Tablet,PPC,Health,1121,28,0,5,4,,,,,,
3/6/20,Desktop,PPC,Health,10767,123,4,36,28,,,,,,
3/6/20,Mobile,PPC,Health,8585,265,7,58,41,,,,,,
3/6/20,Tablet,PPC,Health,1076,26,0,6,3,,,,,,
3/7/20,Desktop,PPC,Health,11393,119,4,44,29,,,,,,
3/7/20,Mobile,PPC,Health,10060,299,8,77,49,,,,,,
3/7/20,Tablet,PPC,Health,1201,28,0,7,4,,,,,,
3/8/20,Desktop,PPC,Health,15733,124,3,41,27,,,,,,
3/8/20,Mobile,PPC,Health,9894,293,7,72,46,,,,,,
3/8/20,Tablet,PPC,Health,1123,29,0,8,4,,,,,,
3/9/20,Desktop,PPC,Health,19901,166,5,58,39,,,,,,
3/9/20,Mobile,PPC,Health,11536,324,8,73,52,,,,,,
3/9/20,Tablet,PPC,Health,1317,27,0,8,3,,,,,,
3/10/20,Desktop,PPC,Health,10137,146,6,55,36,,,,,,
3/10/20,Mobile,PPC,Health,12112,369,9,91,64,,,,,,
3/10/20,Tablet,PPC,Health,1321,28,0,6,4,,,,,,
3/11/20,Desktop,PPC,Health,14165,152,5,68,36,,,,,,
3/11/20,Mobile,PPC,Health,12432,368,9,78,62,,,,,,
3/11/20,Tablet,PPC,Health,1365,33,0,6,4,,,,,,
3/12/20,Desktop,PPC,Health,11481,147,5,40,38,,,,,,
3/12/20,Mobile,PPC,Health,10848,359,11,88,62,,,,,,
3/12/20,Tablet,PPC,Health,1310,33,0,4,5,,,,,,
3/13/20,Desktop,PPC,Health,23297,149,5,54,39,,,,,,
3/13/20,Mobile,PPC,Health,10502,378,11,106,67,,,,,,
3/13/20,Tablet,PPC,Health,1284,34,0,3,5,,,,,,
3/14/20,Desktop,PPC,Health,14641,144,6,68,38,,,,,,
3/14/20,Mobile,PPC,Health,9568,386,11,127,70,,,,,,
3/14/20,Tablet,PPC,Health,1241,39,1,8,6,,,,,,
3/15/20,Desktop,PPC,Health,10947,161,6,73,42,,,,,,
3/15/20,Mobile,PPC,Health,11288,420,12,118,75,,,,,,
3/15/20,Tablet,PPC,Health,1411,40,0,7,6,,,,,,
3/16/20,Desktop,PPC,Health,11259,209,7,79,62,,,,,,
3/16/20,Mobile,PPC,Health,15084,517,14,117,104,,,,,,
3/16/20,Tablet,PPC,Health,1775,48,1,7,8,,,,,,
3/17/20,Desktop,PPC,Health,11366,217,8,85,63,,,,,,
3/17/20,Mobile,PPC,Health,15069,525,14,125,102,,,,,,
3/17/20,Tablet,PPC,Health,1779,52,1,15,10,,,,,,
3/18/20,Desktop,PPC,Health,11270,212,7,83,59,,,,,,
3/18/20,Mobile,PPC,Health,14837,512,15,130,96,,,,,,
3/18/20,Tablet,PPC,Health,1761,45,1,14,7,,,,,,
3/19/20,Desktop,PPC,Health,12496,210,9,94,60,,,,,,
3/19/20,Mobile,PPC,Health,14246,492,14,122,92,,,,,,
3/19/20,Tablet,PPC,Health,1841,46,1,15,7,,,,,,
3/20/20,Desktop,PPC,Health,12712,187,9,109,51,,,,,,
3/20/20,Mobile,PPC,Health,12616,440,16,162,79,,,,,,
3/20/20,Tablet,PPC,Health,1633,44,1,29,6,,,,,,
3/21/20,Desktop,PPC,Health,11820,196,9,80,50,,,,,,
3/21/20,Mobile,PPC,Health,14206,531,19,197,98,,,,,,
3/21/20,Tablet,PPC,Health,1803,46,1,15,7,,,,,,
3/22/20,Desktop,PPC,Health,16358,222,10,126,55,,,,,,
3/22/20,Mobile,PPC,Health,15951,582,19,205,104,,,,,,
3/22/20,Tablet,PPC,Health,1991,51,1,18,8,,,,,,
3/23/20,Desktop,PPC,Health,16860,289,12,127,85,,,,,,
3/23/20,Mobile,PPC,Health,21013,684,24,261,142,,,,,,
3/23/20,Tablet,PPC,Health,2496,60,1,27,10,,,,,,
3/24/20,Desktop,PPC,Health,17441,279,12,137,85,,,,,,
3/24/20,Mobile,PPC,Health,19244,691,21,178,147,,,,,,
3/24/20,Tablet,PPC,Health,2178,54,1,23,9,,,,,,
3/25/20,Desktop,PPC,Health,15187,264,10,107,80,,,,,,
3/25/20,Mobile,PPC,Health,17256,623,22,210,128,,,,,,
3/25/20,Tablet,PPC,Health,2137,49,1,27,9,,,,,,
3/26/20,Desktop,PPC,Health,17240,262,11,111,79,,,,,,
3/26/20,Mobile,PPC,Health,19012,646,23,225,136,,,,,,
3/26/20,Tablet,PPC,Health,2312,52,1,16,9,,,,,,
3/27/20,Desktop,PPC,Health,14637,235,9,128,68,,,,,,
3/27/20,Mobile,PPC,Health,18360,620,24,220,127,,,,,,
3/27/20,Tablet,PPC,Health,2172,48,1,20,8,,,,,,
3/28/20,Desktop,PPC,Health,13120,238,11,120,72,,,,,,
3/28/20,Mobile,PPC,Health,23773,806,31,301,168,,,,,,
3/28/20,Tablet,PPC,Health,2555,52,1,21,9,,,,,,
3/29/20,Desktop,PPC,Health,13073,250,12,150,71,,,,,,
3/29/20,Mobile,PPC,Health,23943,797,28,271,159,,,,,,
3/29/20,Tablet,PPC,Health,2569,58,2,21,8,,,,,,
3/30/20,Desktop,PPC,Health,18100,337,16,174,101,,,,,,
3/30/20,Mobile,PPC,Health,28443,887,28,278,192,,,,,,
3/30/20,Tablet,PPC,Health,2912,63,1,10,10,,,,,,
3/31/20,Desktop,PPC,Health,17959,334,13,150,100,,,,,,
3/31/20,Mobile,PPC,Health,27006,854,29,270,185,,,,,,
3/31/20,Tablet,PPC,Health,3049,65,1,21,11,,,,,,
4/1/20,Desktop,PPC,Health,15712,250,11,123,80,,,,,,
4/1/20,Mobile,PPC,Health,18974,658,23,206,143,,,,,,
4/1/20,Tablet,PPC,Health,2180,48,1,20,8,,,,,,
4/2/20,Desktop,PPC,Health,14732,242,12,150,81,,,,,,
4/2/20,Mobile,PPC,Health,16016,596,23,240,124,,,,,,
4/2/20,Tablet,PPC,Health,1916,43,1,13,8,,,,,,
4/3/20,Desktop,PPC,Health,15494,229,12,124,77,,,,,,
4/3/20,Mobile,PPC,Health,15432,590,24,236,124,,,,,,
4/3/20,Tablet,PPC,Health,1820,39,1,14,6,,,,,,
4/4/20,Desktop,PPC,Health,15104,253,12,139,82,,,,,,
4/4/20,Mobile,PPC,Health,21497,749,29,274,175,,,,,,
4/4/20,Tablet,PPC,Health,2314,50,1,24,9,,,,,,
4/5/20,Desktop,PPC,Health,18955,250,13,118,82,,,,,,
4/5/20,Mobile,PPC,Health,20006,748,28,262,168,,,,,,
4/5/20,Tablet,PPC,Health,2212,52,1,9,9,,,,,,
4/6/20,Desktop,PPC,Health,17583,316,13,119,113,,,,,,
4/6/20,Mobile,PPC,Health,26566,844,32,279,218,,,,,,
4/6/20,Tablet,PPC,Health,2776,59,2,28,12,,,,,,
4/7/20,Desktop,PPC,Health,13831,274,13,131,101,,,,,,
4/7/20,Mobile,PPC,Health,24452,787,27,210,203,,,,,,
4/7/20,Tablet,PPC,Health,2428,50,2,21,10,,,,,,
4/8/20,Desktop,PPC,Health,14348,270,13,120,99,,,,,,
4/8/20,Mobile,PPC,Health,21715,693,24,207,177,,,,,,
4/8/20,Tablet,PPC,Health,2410,50,1,24,10,,,,,,
4/9/20,Desktop,PPC,Health,16327,243,11,125,78,,,,,,
4/9/20,Mobile,PPC,Health,16767,537,22,193,114,,,,,,
4/9/20,Tablet,PPC,Health,1993,41,1,19,7,,,,,,
4/10/20,Desktop,PPC,Health,14131,241,10,105,75,,,,,,
4/10/20,Mobile,PPC,Health,19863,606,25,223,133,,,,,,
4/10/20,Tablet,PPC,Health,2184,45,1,18,7,,,,,,
4/11/20,Desktop,PPC,Health,13520,226,12,126,70,,,,,,
4/11/20,Mobile,PPC,Health,19570,640,26,204,141,,,,,,
4/11/20,Tablet,PPC,Health,2007,48,2,29,8,,,,,,
4/12/20,Desktop,PPC,Health,13972,229,11,134,71,,,,,,
4/12/20,Mobile,PPC,Health,23083,708,23,235,158,,,,,,
4/12/20,Tablet,PPC,Health,2178,48,1,24,7,,,,,,
4/13/20,Desktop,PPC,Health,20636,308,13,145,102,,,,,,
4/13/20,Mobile,PPC,Health,28332,779,26,207,183,,,,,,
4/13/20,Tablet,PPC,Health,2731,52,1,23,10,,,,,,
4/14/20,Desktop,PPC,Health,21868,299,12,118,96,,,,,,
4/14/20,Mobile,PPC,Health,25646,712,25,181,163,,,,,,
4/14/20,Tablet,PPC,Health,2424,50,1,18,9,,,,,,
4/15/20,Desktop,PPC,Health,24144,268,10,101,83,,,,,,
4/15/20,Mobile,PPC,Health,20169,607,22,212,132,,,,,,
4/15/20,Tablet,PPC,Health,1909,39,1,19,6,,,,,,
4/16/20,Desktop,PPC,Health,17324,242,10,85,74,,,,,,
4/16/20,Mobile,PPC,Health,20184,567,21,184,116,,,,,,
4/16/20,Tablet,PPC,Health,1895,38,1,5,6,,,,,,
4/17/20,Desktop,PPC,Health,18109,243,11,113,73,,,,,,
4/17/20,Mobile,PPC,Health,23290,606,22,202,128,,,,,,
4/17/20,Tablet,PPC,Health,2094,42,1,17,7,,,,,,
4/18/20,Desktop,PPC,Health,16230,238,10,121,75,,,,,,
4/18/20,Mobile,PPC,Health,24201,631,23,206,138,,,,,,
4/18/20,Tablet,PPC,Health,2174,43,2,28,7,,,,,,
4/19/20,Desktop,PPC,Health,17113,257,9,100,79,,,,,,
4/19/20,Mobile,PPC,Health,26554,684,26,210,154,,,,,,
4/19/20,Tablet,PPC,Health,2268,46,1,11,8,,,,,,
4/20/20,Desktop,PPC,Health,21799,303,13,124,94,,,,,,
4/20/20,Mobile,PPC,Health,28458,698,23,180,163,,,,,,
4/20/20,Tablet,PPC,Health,2480,46,1,6,8,,,,,,
4/21/20,Desktop,PPC,Health,25496,315,12,101,102,,,,,,
4/21/20,Mobile,PPC,Health,31246,732,24,182,181,,,,,,
4/21/20,Tablet,PPC,Health,2811,51,1,13,10,,,,,,
4/22/20,Desktop,PPC,Health,23780,284,10,99,89,,,,,,
4/22/20,Mobile,PPC,Health,28030,669,23,197,156,,,,,,
4/22/20,Tablet,PPC,Health,2473,46,1,11,8,,,,,,
4/23/20,Desktop,PPC,Health,24587,268,11,98,89,,,,,,
4/23/20,Mobile,PPC,Health,24754,618,23,213,142,,,,,,
4/23/20,Tablet,PPC,Health,2297,43,1,11,8,,,,,,
4/24/20,Desktop,PPC,Health,22391,230,9,102,72,,,,,,
4/24/20,Mobile,PPC,Health,20275,545,21,183,121,,,,,,
4/24/20,Tablet,PPC,Health,1879,38,1,14,6,,,,,,
4/25/20,Desktop,PPC,Health,20472,210,8,99,65,,,,,,
4/25/20,Mobile,PPC,Health,21881,581,23,173,130,,,,,,
4/25/20,Tablet,PPC,Health,1951,39,1,13,7,,,,,,
4/26/20,Desktop,PPC,Health,13309,211,10,118,64,,,,,,
4/26/20,Mobile,PPC,Health,24781,655,24,200,154,,,,,,
4/26/20,Tablet,PPC,Health,1954,42,1,10,7,,,,,,
4/27/20,Desktop,PPC,Health,16090,255,10,84,85,,,,,,
4/27/20,Mobile,PPC,Health,29243,715,24,194,179,,,,,,
4/27/20,Tablet,PPC,Health,2415,40,1,6,7,,,,,,
4/28/20,Desktop,PPC,Health,17749,287,13,121,100,,,,,,
4/28/20,Mobile,PPC,Health,33415,810,25,202,208,,,,,,
4/28/20,Tablet,PPC,Health,2683,48,1,17,9,,,,,,
4/29/20,Desktop,PPC,Health,12262,240,11,121,75,,,,,,
4/29/20,Mobile,PPC,Health,23633,617,22,176,139,,,,,,
4/29/20,Tablet,PPC,Health,1976,37,0,9,6,,,,,,
4/30/20,Desktop,PPC,Health,11722,226,10,94,66,,,,,,
4/30/20,Mobile,PPC,Health,20612,542,19,176,115,,,,,,
4/30/20,Tablet,PPC,Health,1909,38,1,9,6,,,,,,
5/1/20,Desktop,PPC,Health,11047,212,9,92,67,,,,,,
5/1/20,Mobile,PPC,Health,22906,589,23,202,130,,,,,,
5/1/20,Tablet,PPC,Health,1996,36,1,10,6,,,,,,
5/2/20,Desktop,PPC,Health,9422,202,9,92,64,,,,,,
5/2/20,Mobile,PPC,Health,26112,704,27,243,171,,,,,,
5/2/20,Tablet,PPC,Health,1996,41,1,28,7,,,,,,
5/3/20,Desktop,PPC,Health,9960,218,10,124,69,,,,,,
5/3/20,Mobile,PPC,Health,26547,725,25,226,177,,,,,,
5/3/20,Tablet,PPC,Health,2091,43,1,12,8,,,,,,
5/4/20,Desktop,PPC,Health,16183,296,14,152,97,,,,,,
5/4/20,Mobile,PPC,Health,33972,800,24,192,201,,,,,,
5/4/20,Tablet,PPC,Health,2759,56,1,18,11,,,,,,
5/5/20,Desktop,PPC,Health,14393,268,11,111,86,,,,,,
5/5/20,Mobile,PPC,Health,30446,745,24,193,183,,,,,,
5/5/20,Tablet,PPC,Health,2450,47,1,23,9,,,,,,
5/6/20,Desktop,PPC,Health,12720,236,9,96,72,,,,,,
5/6/20,Mobile,PPC,Health,27006,643,23,187,142,,,,,,
5/6/20,Tablet,PPC,Health,2229,45,1,15,8,,,,,,
5/7/20,Desktop,PPC,Health,12154,219,10,95,66,,,,,,
5/7/20,Mobile,PPC,Health,23841,580,21,184,126,,,,,,
5/7/20,Tablet,PPC,Health,2099,39,1,14,6,,,,,,
5/8/20,Desktop,PPC,Health,11421,205,9,91,67,,,,,,
5/8/20,Mobile,PPC,Health,24312,588,21,165,133,,,,,,
5/8/20,Tablet,PPC,Health,1990,41,0,5,7,,,,,,
5/9/20,Desktop,PPC,Health,8861,181,10,109,55,,,,,,
5/9/20,Mobile,PPC,Health,25216,622,23,220,140,,,,,,
5/9/20,Tablet,PPC,Health,2062,40,1,19,6,,,,,,
5/10/20,Desktop,PPC,Health,7733,156,6,67,48,,,,,,
5/10/20,Mobile,PPC,Health,20986,558,20,191,118,,,,,,
5/10/20,Tablet,PPC,Health,1796,36,1,5,5,,,,,,
5/11/20,Desktop,PPC,Health,13344,243,11,128,77,,,,,,
5/11/20,Mobile,PPC,Health,26618,659,21,173,149,,,,,,
5/11/20,Tablet,PPC,Health,2243,43,1,7,7,,,,,,
5/12/20,Desktop,PPC,Health,12685,224,9,88,72,,,,,,
