Date,Category,Campaign Name,Impressions,Clicks,Conversions,Revenue,Cost,Daily Budget,,,,,,,,,,,,,,,
2/22/20,Pets,Pets - Campaign 2,7285,181,8,75.47,51.21,250,,,,,,,,,,,,,,,
2/2/20,Pets,Pets - Campaign 2,8568,200,9,77.6,59,250,,,,,,,,,,,,,,,
2/4/20,Pets,Pets - Campaign 2,9282,178,6,39.31,57.9,250,,,,,,,,,,,,,,,
2/11/20,Pets,Pets - Campaign 2,6835,156,9,63.21,44.69,250,,,,,,,,,,,,,,,
2/13/20,Pets,Pets - Campaign 2,7223,125,5,29.76,35.2,250,,,,,,,,,,,,,,,
2/18/20,Pets,Pets - Campaign 2,6267,157,7,36.82,45.35,250,,,,,,,,,,,,,,,
2/20/20,Pets,Pets - Campaign 2,5866,127,4,39.17,35.12,250,,,,,,,,,,,,,,,
3/2/20,Pets,Pets - Campaign 2,7163,162,6,61.34,52.69,250,,,,,,,,,,,,,,,
3/3/20,Pets,Pets - Campaign 2,7677,161,8,69.78,53.7,250,,,,,,,,,,,,,,,
3/4/20,Pets,Pets - Campaign 2,6645,158,10,81.17,48.7,250,,,,,,,,,,,,,,,
3/5/20,Pets,Pets - Campaign 2,5298,137,6,56.55,39.84,250,,,,,,,,,,,,,,,
3/18/20,Pets,Pets - Campaign 2,7294,195,10,61.99,70.76,250,,,,,,,,,,,,,,,
2/23/20,Pets,Pets - Campaign 2,7989,210,10,101.96,62.1,250,,,,,,,,,,,,,,,
2/24/20,Pets,Pets - Campaign 2,7901,177,7,40.83,49.7,250,,,,,,,,,,,,,,,
2/25/20,Pets,Pets - Campaign 2,5920,145,4,17.76,46.79,250,,,,,,,,,,,,,,,
2/26/20,Pets,Pets - Campaign 2,5530,137,4,51.65,43.46,250,,,,,,,,,,,,,,,
3/10/20,Pets,Pets - Campaign 2,6318,178,7,47.26,52.35,250,,,,,,,,,,,,,,,
3/11/20,Pets,Pets - Campaign 2,6395,168,8,32.53,46.09,250,,,,,,,,,,,,,,,
3/12/20,Pets,Pets - Campaign 2,5558,152,7,71.79,46.67,250,,,,,,,,,,,,,,,
3/13/20,Pets,Pets - Campaign 2,5260,142,8,52.13,43.1,250,,,,,,,,,,,,,,,
1/27/20,Pets,Pets - Campaign 2,5480,148,8,53.76,45.37,250,,,,,,,,,,,,,,,
2/3/20,Pets,Pets - Campaign 2,9222,188,9,69.21,60.18,250,,,,,,,,,,,,,,,
2/5/20,Pets,Pets - Campaign 2,8515,181,8,36.66,54.31,250,,,,,,,,,,,,,,,
2/10/20,Pets,Pets - Campaign 2,8428,164,4,28.89,46.7,250,,,,,,,,,,,,,,,
2/12/20,Pets,Pets - Campaign 2,7047,143,6,57.08,42.13,250,,,,,,,,,,,,,,,
2/19/20,Pets,Pets - Campaign 2,6226,147,5,21.42,43.25,250,,,,,,,,,,,,,,,
2/27/20,Pets,Pets - Campaign 2,6294,139,6,42.85,46.85,250,,,,,,,,,,,,,,,
2/29/20,Pets,Pets - Campaign 2,7648,177,10,87,55,250,,,,,,,,,,,,,,,
3/7/20,Pets,Pets - Campaign 2,6428,168,6,41.77,52.14,250,,,,,,,,,,,,,,,
3/9/20,Pets,Pets - Campaign 2,6916,175,8,52.12,51.13,250,,,,,,,,,,,,,,,
3/14/20,Pets,Pets - Campaign 2,5140,166,10,65.81,56.9,250,,,,,,,,,,,,,,,
3/16/20,Pets,Pets - Campaign 2,6894,168,6,54.55,58.39,250,,,,,,,,,,,,,,,
3/19/20,Pets,Pets - Campaign 2,8301,233,13,107.31,64.35,250,,,,,,,,,,,,,,,
3/20/20,Pets,Pets - Campaign 2,7755,200,12,76.53,60.47,250,,,,,,,,,,,,,,,
3/21/20,Pets,Pets - Campaign 2,10041,232,17,195.66,82.99,250,,,,,,,,,,,,,,,
3/22/20,Pets,Pets - Campaign 2,11611,324,24,206.17,121.53,250,,,,,,,,,,,,,,,
4/4/20,Pets,Pets - Campaign 2,19599,419,33,209.84,171.22,250,,,,,,,,,,,,,,,
4/5/20,Pets,Pets - Campaign 2,18676,464,35,183.8,187.31,250,,,,,,,,,,,,,,,
4/6/20,Pets,Pets - Campaign 2,20636,404,23,152.78,156.97,250,,,,,,,,,,,,,,,
4/7/20,Pets,Pets - Campaign 2,18583,373,22,149.98,153.36,250,,,,,,,,,,,,,,,
3/27/20,Pets,Pets - Campaign 2,17453,366,21,100.36,122.22,250,,,,,,,,,,,,,,,
3/28/20,Pets,Pets - Campaign 2,22892,488,26,194.39,169.31,250,,,,,,,,,,,,,,,
3/29/20,Pets,Pets - Campaign 2,26904,525,31,258.15,199.84,250,,,,,,,,,,,,,,,
3/30/20,Pets,Pets - Campaign 2,25138,397,22,138.61,145.92,250,,,,,,,,,,,,,,,
4/13/20,Pets,Pets - Campaign 2,25771,465,27,184.13,180.02,250,,,,,,,,,,,,,,,
4/14/20,Pets,Pets - Campaign 2,21370,393,29,151.34,154.69,250,,,,,,,,,,,,,,,
3/23/20,Pets,Pets - Campaign 2,13218,259,16,116.87,98.7,250,,,,,,,,,,,,,,,
3/25/20,Pets,Pets - Campaign 2,15072,310,20,151.36,118.54,250,,,,,,,,,,,,,,,
4/1/20,Pets,Pets - Campaign 2,16641,336,23,197.28,120.12,250,,,,,,,,,,,,,,,
4/3/20,Pets,Pets - Campaign 2,14434,339,18,117.33,111.35,250,,,,,,,,,,,,,,,
4/8/20,Pets,Pets - Campaign 2,16924,345,26,205.5,146.02,250,,,,,,,,,,,,,,,
4/10/20,Pets,Pets - Campaign 2,17853,376,24,177.77,141.58,250,,,,,,,,,,,,,,,
4/12/20,Pets,Pets - Campaign 2,22536,502,30,237.67,202.04,250,,,,,,,,,,,,,,,
4/21/20,Pets,Pets - Campaign 2,22338,392,23,203.89,164.06,250,,,,,,,,,,,,,,,
4/22/20,Pets,Pets - Campaign 2,19957,379,29,158.25,152,250,,,,,,,,,,,,,,,
4/23/20,Pets,Pets - Campaign 2,19394,355,24,121.9,135.63,250,,,,,,,,,,,,,,,
4/24/20,Pets,Pets - Campaign 2,20752,355,30,219.3,140.73,250,,,,,,,,,,,,,,,
5/8/20,Pets,Pets - Campaign 2,17232,357,26,215.73,145.01,250,,,,,,,,,,,,,,,
5/9/20,Pets,Pets - Campaign 2,19083,450,32,237.22,177.44,250,,,,,,,,,,,,,,,
4/15/20,Pets,Pets - Campaign 2,17869,366,25,163.68,148.48,250,,,,,,,,,,,,,,,
4/16/20,Pets,Pets - Campaign 2,15542,322,26,161.73,126.72,250,,,,,,,,,,,,,,,
4/29/20,Pets,Pets - Campaign 2,27123,434,32,203.57,163.33,250,,,,,,,,,,,,,,,
4/30/20,Pets,Pets - Campaign 2,24917,403,25,239.22,148.37,250,,,,,,,,,,,,,,,
5/1/20,Pets,Pets - Campaign 2,21529,427,29,181.09,161.58,250,,,,,,,,,,,,,,,
5/2/20,Pets,Pets - Campaign 2,25448,518,40,345.9,219.23,250,,,,,,,,,,,,,,,
4/17/20,Pets,Pets - Campaign 2,19194,345,22,150.64,130.33,250,,,,,,,,,,,,,,,
4/19/20,Pets,Pets - Campaign 2,23094,491,32,234.04,200.89,250,,,,,,,,,,,,,,,
4/26/20,Pets,Pets - Campaign 2,25489,488,32,215.2,198.37,250,,,,,,,,,,,,,,,
4/28/20,Pets,Pets - Campaign 2,31219,483,31,164.69,193.31,250,,,,,,,,,,,,,,,
5/3/20,Pets,Pets - Campaign 2,26602,549,38,214.91,235.33,250,,,,,,,,,,,,,,,
5/5/20,Pets,Pets - Campaign 2,27749,440,28,193.98,169.4,250,,,,,,,,,,,,,,,
5/7/20,Pets,Pets - Campaign 2,19625,357,28,211.96,144.59,250,,,,,,,,,,,,,,,
2/21/20,Pets,Pets - Campaign 2,5663,136,4,46.86,38.03,250,,,,,,,,,,,,,,,
2/28/20,Pets,Pets - Campaign 2,5601,143,7,46.49,45.66,250,,,,,,,,,,,,,,,
3/1/20,Pets,Pets - Campaign 2,8549,192,11,94.59,63.91,250,,,,,,,,,,,,,,,
3/6/20,Pets,Pets - Campaign 2,5307,143,7,30.14,44.04,250,,,,,,,,,,,,,,,
3/8/20,Pets,Pets - Campaign 2,6428,189,11,94.33,67.33,250,,,,,,,,,,,,,,,
3/15/20,Pets,Pets - Campaign 2,6511,204,15,98.71,76.82,250,,,,,,,,,,,,,,,
5/10/20,Pets,Pets - Campaign 2,21456,475,32,257.98,200.02,250,,,,,,,,,,,,,,,
5/11/20,Pets,Pets - Campaign 2,20296,404,23,148.45,160.87,250,,,,,,,,,,,,,,,
5/24/20,Pets,Pets - Campaign 2,14707,489,35,235.16,220.76,250,,,,,,,,,,,,,,,
5/25/20,Pets,Pets - Campaign 2,15753,464,35,236.64,225.65,250,,,,,,,,,,,,,,,
5/26/20,Pets,Pets - Campaign 2,19670,452,27,174.57,231.38,250,,,,,,,,,,,,,,,
5/27/20,Pets,Pets - Campaign 2,22050,476,31,187.71,218.25,250,,,,,,,,,,,,,,,
5/16/20,Pets,Pets - Campaign 2,14504,391,27,173.49,160.19,250,,,,,,,,,,,,,,,
5/17/20,Pets,Pets - Campaign 2,14785,430,34,229.33,187.85,250,,,,,,,,,,,,,,,
5/18/20,Pets,Pets - Campaign 2,21406,468,34,297.43,202.47,250,,,,,,,,,,,,,,,
5/19/20,Pets,Pets - Campaign 2,19112,397,25,156.94,168.54,250,,,,,,,,,,,,,,,
6/2/20,Pets,Pets - Campaign 2,27918,386,19,161.03,118.73,250,,,,,,,,,,,,,,,
6/3/20,Pets,Pets - Campaign 2,21790,357,14,116.43,99.4,250,,,,,,,,,,,,,,,
6/4/20,Pets,Pets - Campaign 2,23124,375,18,131.08,109.67,250,,,,,,,,,,,,,,,
6/5/20,Pets,Pets - Campaign 2,26989,425,21,181.62,127.74,250,,,,,,,,,,,,,,,
5/12/20,Pets,Pets - Campaign 2,20100,372,25,144.12,144.31,250,,,,,,,,,,,,,,,
5/14/20,Pets,Pets - Campaign 2,15761,339,25,138.98,129.56,250,,,,,,,,,,,,,,,
5/21/20,Pets,Pets - Campaign 2,16137,403,33,260.37,168.73,250,,,,,,,,,,,,,,,
5/23/20,Pets,Pets - Campaign 2,14525,438,41,286.11,187.02,250,,,,,,,,,,,,,,,
5/28/20,Pets,Pets - Campaign 2,18173,423,29,229.46,181.36,250,,,,,,,,,,,,,,,
5/30/20,Pets,Pets - Campaign 2,25057,340,18,141.22,95.35,250,,,,,,,,,,,,,,,
6/1/20,Pets,Pets - Campaign 2,23408,292,13,98.03,86.14,250,,,,,,,,,,,,,,,
6/10/20,Pets,Pets - Campaign 2,27028,415,18,103.88,125.57,250,,,,,,,,,,,,,,,
6/11/20,Pets,Pets - Campaign 2,23064,319,15,102.13,92.37,250,,,,,,,,,,,,,,,
6/12/20,Pets,Pets - Campaign 2,21774,301,13,127.19,85.13,250,,,,,,,,,,,,,,,
6/13/20,Pets,Pets - Campaign 2,22712,314,19,157.04,86.45,250,,,,,,,,,,,,,,,
6/27/20,Pets,Pets - Campaign 2,11303,319,20,216.99,104.88,250,,,,,,,,,,,,,,,
6/28/20,Pets,Pets - Campaign 2,14360,398,25,285.18,141.19,250,,,,,,,,,,,,,,,
6/29/20,Pets,Pets - Campaign 2,15301,308,25,191.15,109.98,250,,,,,,,,,,,,,,,
6/30/20,Pets,Pets - Campaign 2,13674,317,19,135.78,112.58,250,,,,,,,,,,,,,,,
3/17/20,Pets,Pets - Campaign 2,6970,188,11,95.07,66.37,250,,,,,,,,,,,,,,,
3/24/20,Pets,Pets - Campaign 2,14696,318,19,139.97,124.9,250,,,,,,,,,,,,,,,
3/26/20,Pets,Pets - Campaign 2,15050,333,20,129.49,123.56,250,,,,,,,,,,,,,,,
3/31/20,Pets,Pets - Campaign 2,21654,421,25,174.63,155.69,250,,,,,,,,,,,,,,,
4/2/20,Pets,Pets - Campaign 2,14211,339,20,184.13,113.61,250,,,,,,,,,,,,,,,
4/9/20,Pets,Pets - Campaign 2,15395,348,29,208.52,133.48,250,,,,,,,,,,,,,,,
4/11/20,Pets,Pets - Campaign 2,17586,432,30,245.01,165.33,250,,,,,,,,,,,,,,,
6/18/20,Pets,Pets - Campaign 2,10870,241,15,132.79,61.94,250,,,,,,,,,,,,,,,
6/19/20,Pets,Pets - Campaign 2,10022,226,13,101.61,58.81,250,,,,,,,,,,,,,,,
6/20/20,Pets,Pets - Campaign 2,9925,257,13,101.63,69.49,250,,,,,,,,,,,,,,,
6/21/20,Pets,Pets - Campaign 2,12570,327,14,94.6,88.92,250,,,,,,,,,,,,,,,
6/22/20,Pets,Pets - Campaign 2,15599,327,12,98.99,90.36,250,,,,,,,,,,,,,,,
6/6/20,Pets,Pets - Campaign 2,29267,472,24,164.76,141.84,250,,,,,,,,,,,,,,,
6/8/20,Pets,Pets - Campaign 2,21628,356,17,114.42,101.44,250,,,,,,,,,,,,,,,
6/15/20,Pets,Pets - Campaign 2,16502,263,11,79.27,67.3,250,,,,,,,,,,,,,,,
6/17/20,Pets,Pets - Campaign 2,16892,284,12,97.86,78.07,250,,,,,,,,,,,,,,,
6/24/20,Pets,Pets - Campaign 2,11132,318,17,179.54,105.75,250,,,,,,,,,,,,,,,
6/26/20,Pets,Pets - Campaign 2,9786,262,21,164.6,85.2,250,,,,,,,,,,,,,,,
7/1/20,Pets,Pets - Campaign 2,14869,312,23,178.53,116.59,250,,,,,,,,,,,,,,,
7/13/20,Pets,Pets - Campaign 2,17139,321,23,218.72,117.36,250,,,,,,,,,,,,,,,
7/14/20,Pets,Pets - Campaign 2,15624,302,20,152.2,106.21,250,,,,,,,,,,,,,,,
7/15/20,Pets,Pets - Campaign 2,16582,315,15,130.83,118.49,250,,,,,,,,,,,,,,,
7/16/20,Pets,Pets - Campaign 2,15822,287,20,171.37,105.02,250,,,,,,,,,,,,,,,
7/17/20,Pets,Pets - Campaign 2,15002,291,21,152.5,105.47,250,,,,,,,,,,,,,,,
7/3/20,Pets,Pets - Campaign 2,14816,318,25,188.47,124.93,250,,,,,,,,,,,,,,,
7/10/20,Pets,Pets - Campaign 2,12704,277,16,117.66,106.95,250,,,,,,,,,,,,,,,
7/12/20,Pets,Pets - Campaign 2,17615,387,30,282.01,143.17,250,,,,,,,,,,,,,,,
7/19/20,Pets,Pets - Campaign 2,16107,390,26,236.14,141.55,250,,,,,,,,,,,,,,,
7/21/20,Pets,Pets - Campaign 2,14547,327,20,125.43,104.28,250,,,,,,,,,,,,,,,
7/26/20,Pets,Pets - Campaign 2,18081,448,31,296.34,154.98,250,,,,,,,,,,,,,,,
7/30/20,Pets,Pets - Campaign 2,13492,319,21,201.32,106.84,250,,,,,,,,,,,,,,,
7/31/20,Pets,Pets - Campaign 2,12971,328,20,210.12,104.44,250,,,,,,,,,,,,,,,
8/1/20,Pets,Pets - Campaign 2,15760,364,31,269.91,126.28,250,,,,,,,,,,,,,,,
8/2/20,Pets,Pets - Campaign 2,14239,409,34,302.54,142.11,250,,,,,,,,,,,,,,,
8/16/20,Pets,Pets - Campaign 2,10771,319,19,256.23,104.89,250,,,,,,,,,,,,,,,
8/17/20,Pets,Pets - Campaign 2,12625,302,19,168.53,100.45,250,,,,,,,,,,,,,,,
8/18/20,Pets,Pets - Campaign 2,10436,307,16,118.77,90.69,250,,,,,,,,,,,,,,,
8/19/20,Pets,Pets - Campaign 2,9824,283,16,212.26,79.69,250,,,,,,,,,,,,,,,
7/5/20,Pets,Pets - Campaign 2,18038,370,26,148.09,145.92,250,,,,,,,,,,,,,,,
7/6/20,Pets,Pets - Campaign 2,16068,319,20,208.77,112.83,250,,,,,,,,,,,,,,,
7/7/20,Pets,Pets - Campaign 2,19213,360,24,192.04,135.56,250,,,,,,,,,,,,,,,
7/8/20,Pets,Pets - Campaign 2,20979,394,25,238.39,158.93,250,,,,,,,,,,,,,,,
7/22/20,Pets,Pets - Campaign 2,15981,342,19,156.41,113.4,250,,,,,,,,,,,,,,,
7/23/20,Pets,Pets - Campaign 2,14057,330,18,168.39,106.27,250,,,,,,,,,,,,,,,
7/24/20,Pets,Pets - Campaign 2,12243,313,20,187.66,97.71,250,,,,,,,,,,,,,,,
7/25/20,Pets,Pets - Campaign 2,17039,373,23,246.61,134.73,250,,,,,,,,,,,,,,,
4/18/20,Pets,Pets - Campaign 2,20230,416,30,224.56,164.67,250,,,,,,,,,,,,,,,
4/20/20,Pets,Pets - Campaign 2,23459,416,25,228.55,169.77,250,,,,,,,,,,,,,,,
4/25/20,Pets,Pets - Campaign 2,22416,429,36,314.67,169.99,250,,,,,,,,,,,,,,,
4/27/20,Pets,Pets - Campaign 2,27074,436,27,206.73,180.23,250,,,,,,,,,,,,,,,
5/4/20,Pets,Pets - Campaign 2,28592,440,25,190.24,166.54,250,,,,,,,,,,,,,,,
5/6/20,Pets,Pets - Campaign 2,24452,411,27,208.64,160.48,250,,,,,,,,,,,,,,,
7/28/20,Pets,Pets - Campaign 2,16389,377,15,152.98,124.6,250,,,,,,,,,,,,,,,
8/4/20,Pets,Pets - Campaign 2,10004,265,20,154.57,100.74,250,,,,,,,,,,,,,,,
8/6/20,Pets,Pets - Campaign 2,8788,239,13,98.68,83.4,250,,,,,,,,,,,,,,,
8/13/20,Pets,Pets - Campaign 2,8247,236,19,124.18,73.13,250,,,,,,,,,,,,,,,
8/15/20,Pets,Pets - Campaign 2,9027,267,16,134.18,90.37,250,,,,,,,,,,,,,,,
8/20/20,Pets,Pets - Campaign 2,9914,232,15,165.52,62.84,250,,,,,,,,,,,,,,,
8/22/20,Pets,Pets - Campaign 2,11917,345,20,165.93,105.69,250,,,,,,,,,,,,,,,
9/2/20,Pets,Pets - Campaign 2,10087,276,21,163.85,92.58,250,,,,,,,,,,,,,,,
9/3/20,Pets,Pets - Campaign 2,10036,230,16,139.03,74.19,250,,,,,,,,,,,,,,,
9/4/20,Pets,Pets - Campaign 2,9834,261,15,124.73,87.27,250,,,,,,,,,,,,,,,
9/5/20,Pets,Pets - Campaign 2,10797,303,23,181.33,112.57,250,,,,,,,,,,,,,,,
8/8/20,Pets,Pets - Campaign 2,10390,302,19,135.93,104.53,250,,,,,,,,,,,,,,,
8/9/20,Pets,Pets - Campaign 2,11845,402,24,154.26,144.93,250,,,,,,,,,,,,,,,
8/10/20,Pets,Pets - Campaign 2,11466,339,20,187.21,118.64,250,,,,,,,,,,,,,,,
8/11/20,Pets,Pets - Campaign 2,10180,341,20,192.64,111.43,250,,,,,,,,,,,,,,,
8/24/20,Pets,Pets - Campaign 2,11638,284,17,137.1,86.98,250,,,,,,,,,,,,,,,
8/29/20,Pets,Pets - Campaign 2,12627,316,27,239.86,110.64,250,,,,,,,,,,,,,,,
8/31/20,Pets,Pets - Campaign 2,12992,311,17,134.91,101.76,250,,,,,,,,,,,,,,,
9/7/20,Pets,Pets - Campaign 2,12625,297,22,131.19,116.26,250,,,,,,,,,,,,,,,
9/9/20,Pets,Pets - Campaign 2,11441,227,18,174.33,93.48,250,,,,,,,,,,,,,,,
9/14/20,Pets,Pets - Campaign 2,10935,239,15,88.69,108.33,250,,,,,,,,,,,,,,,
9/16/20,Pets,Pets - Campaign 2,9610,195,9,37.68,80.9,250,,,,,,,,,,,,,,,
9/18/20,Pets,Pets - Campaign 2,8344,186,15,101.21,85.28,250,,,,,,,,,,,,,,,
9/19/20,Pets,Pets - Campaign 2,8305,205,25,211.41,87.14,250,,,,,,,,,,,,,,,
9/20/20,Pets,Pets - Campaign 2,9150,238,26,201.37,109.78,250,,,,,,,,,,,,,,,
9/21/20,Pets,Pets - Campaign 2,8668,191,15,275,90.88,250,,,,,,,,,,,,,,,
10/5/20,Pets,Pets - Campaign 2,10439,228,22,212.76,104.04,250,,,,,,,,,,,,,,,
10/6/20,Pets,Pets - Campaign 2,10119,221,17,119.31,87.25,250,,,,,,,,,,,,,,,
10/7/20,Pets,Pets - Campaign 2,8820,200,15,138.45,74.71,250,,,,,,,,,,,,,,,
10/8/20,Pets,Pets - Campaign 2,7915,196,19,226,69.21,250,,,,,,,,,,,,,,,
5/13/20,Pets,Pets - Campaign 2,18729,354,24,166.54,137.91,250,,,,,,,,,,,,,,,
5/15/20,Pets,Pets - Campaign 2,21172,479,29,201.93,164.36,250,,,,,,,,,,,,,,,
5/20/20,Pets,Pets - Campaign 2,18232,417,26,178.56,183.13,250,,,,,,,,,,,,,,,
5/22/20,Pets,Pets - Campaign 2,15036,412,31,256.34,164.52,250,,,,,,,,,,,,,,,
5/29/20,Pets,Pets - Campaign 2,17489,274,16,111.67,79.94,250,,,,,,,,,,,,,,,
5/31/20,Pets,Pets - Campaign 2,32959,426,26,208.26,122.55,250,,,,,,,,,,,,,,,
10/22/20,Pets,Pets - Campaign 2,9002,207,16,135.85,71.4,250,,,,,,,,,,,,,,,
10/23/20,Pets,Pets - Campaign 2,7622,193,13,67.41,57.12,250,,,,,,,,,,,,,,,
10/24/20,Pets,Pets - Campaign 2,8137,209,12,117.57,60.11,250,,,,,,,,,,,,,,,
10/25/20,Pets,Pets - Campaign 2,8851,265,15,125.11,78.83,250,,,,,,,,,,,,,,,
11/7/20,Pets,Pets - Campaign 2,7446,192,13,147.08,57.38,250,,,,,,,,,,,,,,,
11/8/20,Pets,Pets - Campaign 2,9951,249,19,279.64,78.99,250,,,,,,,,,,,,,,,
8/25/20,Pets,Pets - Campaign 2,10263,240,13,147.61,70.05,250,,,,,,,,,,,,,,,
8/26/20,Pets,Pets - Campaign 2,11671,184,16,106.06,66.42,250,,,,,,,,,,,,,,,
8/27/20,Pets,Pets - Campaign 2,11124,254,17,165.8,86.7,250,,,,,,,,,,,,,,,
9/10/20,Pets,Pets - Campaign 2,12147,240,20,158.81,108.09,250,,,,,,,,,,,,,,,
9/11/20,Pets,Pets - Campaign 2,9840,196,14,147.38,79.64,250,,,,,,,,,,,,,,,
9/12/20,Pets,Pets - Campaign 2,10702,258,20,151.55,88.5,250,,,,,,,,,,,,,,,
9/13/20,Pets,Pets - Campaign 2,10182,288,19,276.78,113.25,250,,,,,,,,,,,,,,,
6/7/20,Pets,Pets - Campaign 2,26101,446,25,177.26,123.71,250,,,,,,,,,,,,,,,
6/9/20,Pets,Pets - Campaign 2,25897,451,19,138.65,142.92,250,,,,,,,,,,,,,,,
6/14/20,Pets,Pets - Campaign 2,20178,323,17,131.73,86.88,250,,,,,,,,,,,,,,,
6/16/20,Pets,Pets - Campaign 2,18289,338,14,107.42,96.09,250,,,,,,,,,,,,,,,
6/23/20,Pets,Pets - Campaign 2,14602,366,20,137.05,115.29,250,,,,,,,,,,,,,,,
6/25/20,Pets,Pets - Campaign 2,12156,366,24,159.91,133.3,250,,,,,,,,,,,,,,,
11/9/20,Pets,Pets - Campaign 2,9734,217,9,126.57,62.54,250,,,,,,,,,,,,,,,
11/10/20,Pets,Pets - Campaign 2,8032,173,6,0,46.38,250,,,,,,,,,,,,,,,
11/11/20,Pets,Pets - Campaign 2,9414,180,14,136.2,50.35,250,,,,,,,,,,,,,,,
11/24/20,Pets,Pets - Campaign 2,8863,183,8,89.78,47.35,250,,,,,,,,,,,,,,,
11/25/20,Pets,Pets - Campaign 2,7523,192,10,88.67,46.71,250,,,,,,,,,,,,,,,
11/26/20,Pets,Pets - Campaign 2,6908,189,6,53.76,43.64,250,,,,,,,,,,,,,,,
11/27/20,Pets,Pets - Campaign 2,7271,207,18,159.26,50.76,250,,,,,,,,,,,,,,,
9/27/20,Pets,Pets - Campaign 2,13470,314,33,218.45,138.44,250,,,,,,,,,,,,,,,
9/28/20,Pets,Pets - Campaign 2,12071,220,16,49.1,95.1,250,,,,,,,,,,,,,,,
